# Flageul, Benhamadouche, Lamballais & Laurence, IJHFF 55 (2015) 34-44,
# figure 5a, the isoQ (green x) case.  Re_tau = 149, Pr = 0.71.
# Digitised by digitize_flageul.py and cross-validated against the same
# series in panel 5b: max 0.209, rms 0.048 in <T'^2>.
# y+   <T'^2>/T_tau^2
13.1654 6.25809
13.2314 6.26079
13.2978 6.25599
13.3644 6.25984
13.4314 6.27446
13.4987 6.26876
13.5664 6.26935
13.6344 6.27007
13.7028 6.2861
13.7714 6.29693
13.8405 6.29588
13.9099 6.29093
13.9796 6.29784
14.0497 6.30631
14.1201 6.31448
14.1909 6.30745
14.262 6.29946
14.3335 6.31062
14.4053 6.3151
14.4775 6.32069
14.5501 6.32928
14.6231 6.33142
14.6964 6.32429
14.77 6.32036
14.8441 6.33236
14.9185 6.32776
14.9932 6.34129
15.0684 6.34508
15.1439 6.34561
15.2199 6.34191
15.2961 6.34284
15.3728 6.33575
15.4499 6.32743
15.5273 6.34017
15.6052 6.35714
15.6834 6.33697
15.762 6.34549
15.841 6.34204
15.9204 6.34515
16.0002 6.35509
16.0804 6.34592
16.161 6.33827
16.242 6.34949
16.3235 6.36521
16.4053 6.35754
16.4875 6.35311
16.5702 6.34684
16.6532 6.34819
16.7367 6.35724
16.8206 6.3474
16.9049 6.33539
16.9897 6.32157
17.0748 6.32558
17.1604 6.32681
17.2464 6.33085
17.3329 6.34253
17.4198 6.33353
17.5071 6.33342
17.5948 6.31844
17.683 6.31789
17.7717 6.3114
17.8608 6.31555
17.9503 6.31427
18.0403 6.30945
18.1307 6.30528
18.2216 6.28802
18.3129 6.26876
18.4047 6.26997
18.497 6.28377
18.5897 6.3026
18.6829 6.26506
18.7765 6.25713
18.8707 6.27283
18.9653 6.25616
19.0603 6.25446
19.1559 6.25582
19.2519 6.23754
19.3484 6.23214
19.4454 6.23984
19.5429 6.25039
19.6408 6.23305
19.7393 6.19029
19.8382 6.19481
19.9377 6.2093
20.0376 6.17976
20.138 6.18661
20.239 6.17762
20.3404 6.18207
20.4424 6.15408
20.5449 6.16179
20.6479 6.1528
20.7514 6.12509
20.8554 6.12943
20.9599 6.13405
21.065 6.14975
21.1706 6.16371
21.2767 6.11797
21.3834 6.10482
21.4906 6.10684
21.5983 6.10324
21.7065 6.0858
21.8154 6.06549
21.9247 6.06703
22.0346 6.04764
22.1451 6.01506
22.2561 6.00455
22.3676 6.00035
22.4798 6.0196
22.5924 6.0277
22.7057 5.98669
22.8195 5.98669
22.9339 5.9197
23.0489 5.91397
23.1644 5.92503
23.2805 5.94671
23.3972 5.93051
23.5145 5.91397
23.6324 5.86289
23.7508 5.89503
23.8699 5.8849
23.9895 5.88654
24.1098 5.89331
24.2306 5.84384
24.3521 5.83856
24.4742 5.78653
24.5968 5.78962
24.7201 5.79549
24.8441 5.79488
24.9686 5.81394
25.0938 5.77876
25.2195 5.70642
25.346 5.69132
25.473 5.69687
25.6007 5.69815
25.729 5.73421
25.858 5.69325
25.9876 5.69464
26.1179 5.66326
26.2488 5.65139
26.3804 5.62487
26.5126 5.68028
26.6455 5.59417
26.7791 5.58868
26.9133 5.5379
27.0482 5.55071
27.1838 5.58012
27.3201 5.58737
27.457 5.5125
27.5947 5.47272
27.733 5.43127
27.872 5.43066
28.0117 5.45204
28.1521 5.42173
28.2933 5.47544
28.4351 5.43374
28.5776 5.36656
28.7209 5.3289
28.8648 5.33945
29.0095 5.33122
29.1549 5.40238
29.3011 5.3462
29.448 5.26455
29.5956 5.26215
29.7439 5.27311
29.893 5.24044
30.0429 5.4209
30.1935 5.35092
30.3448 5.17533
30.4969 5.1919
30.6498 5.18091
30.8034 5.14519
30.9579 5.26939
31.113 5.25886
31.269 5.0783
31.4257 5.07504
31.5833 5.05683
31.7416 5.0556
31.9007 5.09806
32.0606 5.12913
32.2213 4.95724
32.3828 4.97853
32.5452 4.94164
32.7083 4.94284
32.8723 4.95272
33.037 4.9905
33.2026 4.97214
33.3691 4.89534
33.5363 4.90718
33.7045 4.88835
33.8734 4.90656
34.0432 4.81445
